Ticker,Price,GEX,Time
AMC,10.61,2220425.8,2021-04-06T09:29:19.376
AMC,10.61,2220425.8,2021-04-06T09:30:18.224
AMC,10.61,4174454.6,2021-04-06T09:31:18.367
AMC,10.61,4121547.5,2021-04-06T09:32:18.442
AMC,10.61,4095179.8,2021-04-06T09:33:18.232
AMC,10.61,4093650.4,2021-04-06T09:34:18
AMC,10.61,4134620.3,2021-04-06T09:35:18.343
AMC,10.61,4163940.5,2021-04-06T09:36:18.012
AMC,10.61,4220900.3,2021-04-06T09:37:17.933
AMC,10.61,4774501.2,2021-04-06T09:38:18.066
AMC,10.61,4306103.8,2021-04-06T09:39:17.847
AMC,10.61,4325643,2021-04-06T09:40:18.260
AMC,10.61,4326900.4,2021-04-06T09:41:17.986
AMC,10.61,4316041.9,2021-04-06T09:42:17.924
AMC,10.61,4332418.6,2021-04-06T09:43:18.004
AMC,10.61,4248686.8,2021-04-06T09:44:17.968
AMC,10.61,4184864.8,2021-04-06T09:45:18.107
AMC,10.61,4135732,2021-04-06T09:46:18.132
AMC,10.61,4059390.8,2021-04-06T09:47:18.615
AMC,10.61,4101382.1,2021-04-06T09:48:17.972
AMC,10.61,4128970.8,2021-04-06T09:49:17.995
AMC,10.61,4119505.2,2021-04-06T09:50:18.176
AMC,10.61,4129964.9,2021-04-06T09:51:18.120
AMC,10.61,4142731.8,2021-04-06T09:52:17.984
AMC,10.61,4207913.4,2021-04-06T09:53:18.253
AMC,10.61,4234396.2,2021-04-06T09:54:17.374
AMC,10.61,4276674.6,2021-04-06T09:55:18.708
AMC,10.61,4238622.4,2021-04-06T09:56:18.618
AMC,10.61,4164243.9,2021-04-06T09:57:18.151
AMC,10.61,4129657.8,2021-04-06T09:58:18.179
AMC,10.61,4158688.7,2021-04-06T09:59:18.702
AMC,10.61,4214672.9,2021-04-06T10:00:17.982
AMC,10.61,4207669,2021-04-06T10:01:18.456
AMC,10.61,4152119.4,2021-04-06T10:02:18.113
AMC,10.61,4246502.6,2021-04-06T10:03:18.034
AMC,10.61,4224221.3,2021-04-06T10:04:18.089
AMC,10.61,4199372.3,2021-04-06T10:05:18.211
AMC,10.61,4230787.1,2021-04-06T10:06:18.021
AMC,10.61,4174361.4,2021-04-06T10:07:18.163
AMC,10.61,4173861,2021-04-06T10:08:18.149
AMC,10.61,4194868.7,2021-04-06T10:09:18.511
AMC,10.61,4195451.4,2021-04-06T10:10:17.983
AMC,10.61,4184680.4,2021-04-06T10:11:18.078
AMC,10.61,4177446.1,2021-04-06T10:12:18.031
AMC,10.61,4165083.7,2021-04-06T10:13:18.926
AMC,10.61,4177197.8,2021-04-06T10:14:18.265
AMC,10.61,4134389,2021-04-06T10:15:18.089
AMC,10.61,4142787.9,2021-04-06T10:16:18.030
AMC,10.61,4154897.4,2021-04-06T10:17:18.154
AMC,10.61,4137401.4,2021-04-06T10:18:18.416
AMC,10.61,4305722.7,2021-04-06T10:19:18.212
AMC,10.61,4168711.6,2021-04-06T10:20:18.166
AMC,10.61,4188881.3,2021-04-06T10:21:18.405
AMC,10.61,4208765.7,2021-04-06T10:22:18.291
AMC,10.61,4201942.3,2021-04-06T10:23:18.243
AMC,10.61,4153403.6,2021-04-06T10:24:18.123
AMC,10.61,4121286,2021-04-06T10:25:18.828
AMC,10.61,4126858.2,2021-04-06T10:26:18.135
AMC,10.61,4149286.9,2021-04-06T10:27:18.248
AMC,10.61,4158394.8,2021-04-06T10:28:18.314
AMC,10.61,4148693.4,2021-04-06T10:29:18.533
AMC,10.61,4159483.5,2021-04-06T10:30:18.133
AMC,10.61,4184015.4,2021-04-06T10:31:57.829
AMC,10.61,4147325.6,2021-04-06T10:32:58.416
AMC,10.61,4158005.6,2021-04-06T10:33:57.760
AMC,10.61,4145285.9,2021-04-06T10:34:57.473
AMC,10.61,4136256.9,2021-04-06T10:35:57.628
AMC,10.61,4111023.9,2021-04-06T10:36:57.646
AMC,10.61,4113313.1,2021-04-06T10:37:57.929
AMC,10.61,4139693.4,2021-04-06T10:38:57.652
AMC,10.61,4126888.3,2021-04-06T10:39:57.561
AMC,10.61,4131290.8,2021-04-06T10:40:57.566
AMC,10.61,4117899.6,2021-04-06T10:41:57.659
AMC,10.61,4154002.2,2021-04-06T10:42:57.540
AMC,10.61,4119030.1,2021-04-06T10:43:58.832
AMC,10.61,4149098.7,2021-04-06T10:44:57.677
AMC,10.61,4152123,2021-04-06T10:45:57.615
AMC,10.61,4127866.6,2021-04-06T10:49:07.731
AMC,10.61,4112214,2021-04-06T10:56:01.449
AMC,10.61,4131613.4,2021-04-06T10:57:01.211
AMC,10.61,4135734.2,2021-04-06T10:58:00.799
AMC,10.61,4150599.1,2021-04-06T10:59:00.740
AMC,10.61,4170149.8,2021-04-06T11:00:00.831
AMC,10.61,4133269.9,2021-04-06T11:01:00.824
AMC,10.61,4134245.7,2021-04-06T11:02:00.880
AMC,10.61,4020896,2021-04-06T11:03:01.054
AMC,10.61,3940291.9,2021-04-06T11:04:00.900
AMC,10.61,3975549.4,2021-04-06T11:05:00.772
AMC,10.61,3984270,2021-04-06T11:06:00.837
AMC,10.61,4032643.2,2021-04-06T11:07:00.763
AMC,10.61,4088045.1,2021-04-06T11:08:00.800
AMC,10.61,4074492.8,2021-04-06T11:09:00.770
AMC,10.61,4116041,2021-04-06T11:10:00.726
AMC,10.61,4088266,2021-04-06T11:11:00.139
AMC,10.61,4048543.6,2021-04-06T11:13:14.733
AMC,10.61,3955971.2,2021-04-06T11:18:50.131
AMC,10.61,3955642.1,2021-04-06T11:19:50.054
AMC,10.61,3950960,2021-04-06T11:20:49.778
AMC,10.61,3952738.6,2021-04-06T11:21:50.200
AMC,10.61,3922910.2,2021-04-06T11:22:49.594
AMC,10.61,3930179.9,2021-04-06T11:23:49.925
AMC,10.61,3929226.6,2021-04-06T11:24:49.717
AMC,10.61,3955446.6,2021-04-06T11:25:49.841
AMC,10.61,3932348.9,2021-04-06T11:26:49.762
AMC,10.61,3956062.7,2021-04-06T11:27:49.923
AMC,10.61,3951186.2,2021-04-06T11:28:49.805
AMC,10.61,3970485,2021-04-06T11:29:49.728
AMC,10.61,3970890.8,2021-04-06T11:30:50.549
AMC,10.61,3946587.9,2021-04-06T11:31:49.777
AMC,10.61,3956254.6,2021-04-06T11:32:49.831
AMC,10.61,3947478,2021-04-06T11:33:50.360
AMC,10.61,4047138.2,2021-04-06T11:39:01.723
AMC,10.61,4051531.1,2021-04-06T11:40:00.476
AMC,10.61,4067398.1,2021-04-06T11:40:58.023
AMC,10.61,4043868.9,2021-04-06T11:41:57.995
AMC,10.61,4062414.2,2021-04-06T11:42:58.937
AMC,10.61,4036568.8,2021-04-06T11:43:58.105
AMC,10.61,4021850.2,2021-04-06T11:45:00.872
AMC,10.61,4016542.6,2021-04-06T11:45:58.070
AMC,10.61,4040255.4,2021-04-06T11:46:58.148
AMC,10.61,4033089.3,2021-04-06T11:47:58.083
AMC,10.61,4033053.9,2021-04-06T11:48:58.111
AMC,10.61,4018781.7,2021-04-06T11:50:00.935
AMC,10.61,4029417.8,2021-04-06T11:50:58.105
AMC,10.61,4019650.3,2021-04-06T11:51:58.816
AMC,10.61,4030218,2021-04-06T11:52:58.131
AMC,10.61,4025969.3,2021-04-06T11:53:58.082
